"0W"	"1W"	"2W"	"3W"	"4W"	"5W"	"cluster"	"membership"
"Ruminococcus2"	-0.6235014314155	-0.839292918473067	-0.708054851893056	-0.341025111650143	1.51520273360505	0.996671579826718	3	0.810231816174144
"Dorea"	-1.06391669668405	1.02640690885917	1.23680841308637	0.259048421481797	-0.451341802507012	-1.00700524423627	1	0.477776818739109
"Erysipelotrichaceae_incertae_sedis"	-1.63147444454111	0.121566030584537	0.610254238381351	1.35859168148012	-0.232585434256445	-0.226352071648453	7	0.248714270623398
"Alistipes"	2.03983841569247	-0.446508451946217	-0.349352081616162	-0.445885878905727	-0.385762111680813	-0.41232989154355	4	0.97371913842163
"Acetatifactor"	2.04010505372095	-0.341328328497689	-0.424333619685713	-0.425271079897982	-0.42620854011025	-0.42296348552932	4	0.982442999474164
"Bacteroidales_unclassified"	2.00093247069708	-0.655212108008594	-0.557394867186072	-0.435435196002193	-0.223390392349776	-0.129499907150447	4	0.475893388710598
"Desulfovibrionaceae_unclassified"	2.02828803621968	-0.461246098001039	-0.469677687719264	-0.262777569313	-0.284283879041117	-0.550302802145256	4	0.86062400370582
"Intestinimonas"	1.91673897529274	-0.959833719597458	-0.485405809425577	-0.392273116227639	0.0384750161987762	-0.117701346240843	6	0.683902197053232
"Sutterella"	-0.61947038818976	1.7960301483507	0.577471942003974	-0.649155406121934	-0.664865334443182	-0.440010961599798	1	0.549131154102765
"Peptococcaceae_unclassified"	-1.40469358257996	-0.995959866070135	1.15868103883716	0.491470703790804	0.0844001383654131	0.666101567656726	2	0.452493850635383
"Bacteria_unclassified"	1.56619293662847	-1.36601354804957	0.124741882475607	-0.756497294560056	0.209912390617241	0.221663632888309	6	0.410042312942348
"Firmicutes_unclassified"	2.03158672018421	-0.214627046942878	-0.483232064908499	-0.45087416336043	-0.447541732716962	-0.435311712255437	4	0.911321193786538
"Clostridium_XVIII"	-1.40324945362936	-0.539538483451867	0.823909966472662	1.38274100630274	-0.370863539138075	0.107000503443896	7	0.257553876976543
"Coprococcus"	-0.415711734966211	-0.77147213748824	-0.775230192922447	-0.291068473773596	1.83639611839937	0.41708642075113	3	0.600204511123687
"Clostridiaceae_unclassified"	-0.341149453649623	2.03733420159894	-0.352575132711876	-0.480720381275802	-0.482416065094229	-0.380473168867413	5	0.985532299601237
"Candidatus_unclassified"	2.04009744926619	-0.342290013013867	-0.426568596512438	-0.412302366031845	-0.429506898725243	-0.429429574982801	4	0.981230741281341
"Akkermansia"	2.04123486114799	-0.408813988301705	-0.403607977905141	-0.409930458001209	-0.410984204683887	-0.407898232256044	4	0.991042617505418
"Prevotellaceae_unclassified"	1.80950796772786	-0.840696291718162	-0.671801799866838	0.499148649754673	-0.370607206374566	-0.425551319522964	6	0.439709597776972
"Coprobacillus"	-1.24319129632369	-1.23426546036477	0.325406928247208	0.432857145879772	0.576755876956217	1.14243680560526	2	0.825421748193751
"Rhodospirillaceae_unclassified"	0.65725994344652	-1.14706985003999	-0.21708540479014	-0.520006133911796	-0.431074072500104	1.65797551779551	6	0.217894153297154
"Enterococcus"	-1.01646873621357	-0.693841213667037	-0.253486431353832	-0.462558601752829	0.850161929948511	1.57619305303876	3	0.468834012255872
"Bilophila"	-1.15146309486464	-1.28494440118628	0.0890162802924485	0.463074359635659	0.829544354381774	1.05477250174103	2	0.738195995198074
"Deltaproteobacteria_unclassified"	2.02433936849861	-0.433345861783715	-0.494196911361808	-0.492075081488599	-0.15227918322189	-0.452442330642594	4	0.845215052519435
"Fusobacterium"	-0.488379307288298	1.28927530512927	1.28245961449108	-0.743920593151265	-0.714946055760829	-0.624488963419956	1	0.817115316999797
"Clostridium_XlVb"	2.02915882627838	-0.344919872813123	-0.53020752853067	-0.492566473378481	-0.228177505153821	-0.433287446402279	4	0.893791121031253
"Pseudoflavonifractor"	1.9454007154315	-0.473721982136387	-0.664231707814967	-0.618930355912214	-0.367164660792066	0.178647991224134	6	0.464469001310396
"Mycoplasma"	-0.729572186896903	0.964022574958952	-0.709486047851859	-0.814594337101271	-0.23264660997429	1.52227660686537	5	0.195552359111828
"Eubacterium"	-0.458493178511857	0.325612520787463	1.54210104992353	0.167927978534861	-0.0696212850459673	-1.50752708568803	8	0.283324566734733
"Veillonellaceae_unclassified"	2.03883470883383	-0.310844684156736	-0.426869618448349	-0.43472092979139	-0.43472092979139	-0.431678546645961	4	0.97023411196617
"Escherichia.Shigella"	-0.477815069479797	2.03820969491906	-0.337353392154772	-0.453693055871802	-0.354665842112664	-0.41468233530002	5	0.948655398023958
"Subdivision5_genera_incertae_sedis"	2.03348706575904	-0.442029735860808	-0.299034288336723	-0.53308029840356	-0.441490685167606	-0.317852057990338	4	0.896973402881241
"Proteobacteria_unclassified"	1.43886420578181	-0.249634003058103	-1.54371855278521	0.377329779826077	-0.424728749780807	0.401887320016236	6	0.348290249735111
"Desulfovibrionales_unclassified"	-1.42737987138014	-0.0109768650201133	0.623305137718572	0.593551376534641	-0.937372616882283	1.15887283902932	2	0.239841175211404
"Butyricimonas"	-0.00949544746391099	-1.35225691623807	1.71164437681093	-0.306982556639383	0.249123999206223	-0.292033455675791	8	0.4444201815058
"Holdemania"	-1.25610708121259	-1.30778070786499	0.524210837045945	0.588289070096437	0.863098811838756	0.588289070096437	2	0.67473690249149
"Aestuariispira"	-0.375102053734087	-0.629363128628912	-0.63357016315853	-0.585730890273831	1.90123112049522	0.322535115300135	3	0.551435846497489
"Vampirovibrio"	2.03891882459084	-0.439123737121134	-0.442325537165908	-0.442325537165908	-0.396050109459965	-0.319093903677921	4	0.954409346301396
"Coriobacteriaceae_unclassified"	1.96984300001246	-0.846129062883644	-0.524017089120915	-0.144411333014087	-0.179201187692091	-0.276084327301722	6	0.584986658081314
"Veillonella"	-0.37264118307625	2.03646733803696	-0.331650066008924	-0.524773163944676	-0.439832807959805	-0.367570117047302	5	0.977435413931835
"Acetanaerobacterium"	0.455457051516931	-1.67388777692536	-0.688647262460428	0.379943317219546	0.442633964560772	1.08450070608854	3	0.208639923272114
"Olsenella"	-1.19093812903591	-0.0356675538006045	-0.719230999107251	-0.0498151860194217	0.266626157406527	1.72902571055667	3	0.306130510985228
"Lactococcus"	0.0272117273496821	1.51752744378708	0.865372224633026	-0.798823482450359	-0.730618740356777	-0.880669172962656	1	0.541283365080204
"Pasteurellaceae_unclassified"	0.767735987174627	1.6318792740206	-0.235766655795028	-0.836946010543649	-0.89919660528272	-0.42770598957383	5	0.387008439577587
"Marvinbryantia"	2.04124145231931	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Anaerotruncus"	1.92689642120996	-0.752266071933262	-0.58058604680372	-0.543411009169774	-0.23449168235247	0.183858389049269	6	0.664755508092897
"Clostridiales_Incertae_unclassified"	2.03110264214997	-0.289938104452922	-0.287424795577336	-0.494772777813112	-0.438642212925044	-0.520324751381561	4	0.90982316836878
"Clostridia_unclassified"	2.04081317906943	-0.396403486427683	-0.388278446022644	-0.441460528673811	-0.392267102221481	-0.42240361572381	4	0.992327248621984
"Stomatobaculum"	1.53802617336142	1.00608788102492	-0.663412554012815	-0.663412554012815	-0.632456682237947	-0.584832264122766	4	0.301207899999691
"Collinsella"	0.313122533118956	1.90685002177846	-0.603088189796006	-0.489263235593097	-0.447580857997666	-0.680040271510648	5	0.666796867809868
"Rothia"	-0.990040531248279	1.80577656703045	0.289607192522271	0.048262506492276	-0.516032622714547	-0.637573112082171	1	0.366403317085417
"Elusimicrobium"	2.03954419882226	-0.327046282060372	-0.433955913640285	-0.433955913640285	-0.421321138999023	-0.423264950482294	4	0.978387654530775
"Bacillales_Incertae_unclassified"	0.13296709754811	1.9138867459471	-0.0690969580766682	-0.734090834259802	-0.656044929177215	-0.587621121981523	5	0.649828878493252
"Desulfovibrio"	-0.219663981091419	-0.71743195963414	-0.553564979087332	1.98725422465994	-0.0778221323385374	-0.418771172508507	7	0.831769305929069
"Sporobacter"	2.04017463147204	-0.352493083153645	-0.431125355465287	-0.396801744535602	-0.413651517173811	-0.446102931143695	4	0.983449995776661
"Faecalibacterium"	0.566117955663516	0.4190752286277	1.53672439082236	-0.731134875943014	-0.942055120506378	-0.848727578664181	8	0.265349066264209
"Methanomassiliicoccus"	-0.534222070144275	-0.483574339446678	1.92381741854174	-0.826641043605872	-0.255563989551459	0.176184024206546	8	0.69642867681632
"Methanobrevibacter"	2.04117606550059	-0.412237234795637	-0.392227126318044	-0.412237234795637	-0.412237234795637	-0.412237234795637	4	0.989732444741379
"Victivallis"	-0.66261578616412	-0.815599268327516	-0.0117065017005143	-0.715138725544469	0.412228651869442	1.79283162986718	3	0.313582602803797
"Defluviitalea"	2.02309147670366	-0.508886168699927	-0.159584555563529	-0.537135389333683	-0.411285111410298	-0.406200251696222	4	0.821474334638446
"Actinomyces"	-1.7773378984088	0.381049231363806	0.986412608212216	-0.136797968677606	-0.253313588686924	0.799987616197308	2	0.204885095823569
"Macellibacteroides"	2.04065221829455	-0.394530817629318	-0.426404941136175	-0.426404941136175	-0.366906577256709	-0.426404941136175	4	0.994727716375397
"Mucispirillum"	-0.497623079114797	-1.05182656990814	1.63875258118869	-0.704464429351649	-0.0632562436174077	0.678417740803305	8	0.403283571070741
"Proteus"	-0.395288703638884	2.04035247027975	-0.429862399029307	-0.429862399029307	-0.429862399029307	-0.355476569552941	5	0.977640264811896
"Corynebacterium"	0.142047770670019	1.96674195229697	-0.527197430741746	-0.527197430741746	-0.527197430741746	-0.527197430741746	5	0.791556345518103
"Bacillaceae_unclassified"	-1.04074776602237	-0.507208056854534	-0.630491989652538	-0.332124152292662	1.24363098876418	1.26694097605792	3	0.7147138134847
"Globicatella"	-0.169697629031043	1.99194808527538	-0.601493690335161	-0.689452147267482	-0.377599436325618	-0.153705182316075	5	0.842913434529026
"Haemophilus"	-0.739396648814051	1.26207359021709	0.968864574308067	0.331453670158023	-1.18558428171908	-0.637410904150044	1	0.507398521188903
"Puniceicoccaceae_unclassified"	-0.295008330657303	-1.28347780221034	0.402284087259959	1.1455518294355	0.961650532402378	-0.93100031623019	7	0.286771303960111
"Flavobacteriales_unclassified"	2.00352676214099	-0.606304579901585	-0.479895485498091	-0.187728162246435	-0.156740718871259	-0.572857815623618	4	0.671103338565647
"Aerococcus"	-0.264502171928393	2.03603861842716	-0.442884111624692	-0.442884111624692	-0.442884111624692	-0.442884111624692	5	0.983688718537228
"Megamonas"	-0.438499754844523	-0.28330553210288	2.03730455148097	-0.438499754844523	-0.438499754844523	-0.438499754844523	8	0.860256635713978
"Enterorhabdus"	1.19274396324185	-1.37740736871838	-0.596371981620926	1.06559866766785	0.130172564516243	-0.414735845086634	6	0.273349329875189
"Morganella"	-0.472310020269734	2.03786910843654	-0.323680992912125	-0.389738338404396	-0.379829736580555	-0.472310020269734	5	0.940818387293651
"Gracilibacter"	2.02775114204597	-0.462939411674646	-0.462939411674646	-0.462939411674646	-0.175993495347386	-0.462939411674646	4	0.867960047664633
"Peptostreptococcus"	-0.444146152236716	-0.350541740189271	2.03921959695245	-0.444146152236716	-0.356239400053028	-0.444146152236716	8	0.887939610028963
"Psychrobacter"	1.92918161249065	0.267713961555724	-0.549223893511593	-0.549223893511593	-0.549223893511593	-0.549223893511593	4	0.598441521725106
"Parvibacter"	0.314161174130153	-1.32381018892085	-1.05081496174568	1.05514821931989	0.0411659469549855	0.964149810261503	7	0.217148037999327
"Hydrogenoanaerobacterium"	2.04124145231932	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Coprobacter"	1.92494995007213	-0.756230337528337	-0.756230337528337	-0.197651110944906	-0.317960482824414	0.103122318753864	6	0.748614565188163
"Streptophyta"	-1.47934154809243	0.652982820734108	-0.600505055893829	0.152783365990687	1.40826406913154	-0.134183651870081	3	0.26134433647304
"Christensenella"	1.61939139154225	-0.645140760401783	-1.06153281097141	0.394237858135471	0.408651429116727	-0.715607107421258	6	0.353778774007579
"Lentisphaerae_unclassified"	-0.0857382800780518	-0.982315723179965	0.66385925431863	-0.982315723179965	-0.21802019791276	1.60453067003211	2	0.219219434404316
"Anaerobacterium"	2.04124145231931	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Anaerofustis"	1.31760669927692	-1.11489797631124	-1.11489797631124	0.870455104499683	-0.0775062764280539	0.119240425273929	6	0.356457387630257
"Staphylococcus"	0.953787648398646	1.50586980430745	-0.295495401543572	-0.380673791312359	-0.891744129925084	-0.891744129925084	5	0.31746572515498
"Neisseriaceae_unclassified"	0.362472222054484	1.79898575152502	-0.865385710956647	-0.865385710956647	-0.359797150305005	-0.0708894013612091	5	0.5394884037957
"Campylobacter"	-0.0653593428123758	1.995460751986	-0.365478774093693	-0.449512214852462	-0.725622091631273	-0.389488328596198	5	0.854664795383363
"Odoribacter"	2.03633092600054	-0.441927137132032	-0.441927137132032	-0.441927137132032	-0.268622377472412	-0.441927137132032	4	0.949073968630213
"Anaeroplasma"	2.02715459316915	-0.500866243387369	-0.500866243387369	-0.500866243387369	-0.277506972687596	-0.247048890319445	4	0.807894477005664
"Coraliomargarita"	1.63425133166985	-0.78235436090578	-0.78235436090578	-0.452026964078895	-0.452026964078895	0.834511318299499	6	0.50860545825491
"Actinobacillus"	-0.0173604832114704	2.00339976260368	-0.496509819848052	-0.496509819848052	-0.496509819848052	-0.496509819848052	5	0.887381526978186
"Senegalimassilia"	2.04124145231932	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Alphaproteobacteria_unclassified"	1.99479685334133	-0.505011861605401	0.02525059308027	-0.505011861605401	-0.505011861605401	-0.505011861605401	4	0.702319500804909
"Jeotgalicoccus"	2.04124145231931	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Paraeggerthella"	2.02124381434038	-0.474065713384737	-0.474065713384737	-0.474065713384737	-0.124980960801431	-0.474065713384737	4	0.816374276779238
"Bacteroidetes_unclassified"	1.93246987920249	-0.547533132440706	-0.547533132440706	0.257662650560332	-0.547533132440706	-0.547533132440706	4	0.489213142556788
"Opitutae_unclassified"	1.89928985576899	-0.65933896547421	-0.167294961388979	-0.65933896547421	-0.65933896547421	0.246022002042616	6	0.411554233077421
"Actinomycetales_unclassified"	-0.590806130039953	1.1443765796152	1.41992061505401	-0.590806130039953	-0.791878804549349	-0.590806130039953	1	0.782093286242325
"Lactobacillales_unclassified"	-0.442142390592662	1.30471482223995	1.26326397312189	-0.708612134923062	-0.708612134923062	-0.708612134923062	1	0.816113984641034
"Gemmiger"	-0.927977079514271	0.0369904208471894	1.80770578401047	-0.0595063291889565	0.0707642833598404	-0.927977079514271	8	0.457525355939887
"Atopostipes"	2.04124145231932	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Gardnerella"	0.484754890362706	1.84583366990537	-0.582647140067019	-0.582647140067019	-0.582647140067019	-0.582647140067019	5	0.583638708044226
"Selenomonadales_unclassified"	-0.408248290463863	-0.408248290463863	2.04124145231931	-0.408248290463863	-0.408248290463863	-0.408248290463863	8	0.892104694029096
"Catenibacterium"	-0.623324033744915	0.835791774200061	-0.623324033744915	-0.623324033744915	1.6575043607796	-0.623324033744915	3	0.219318655308955
"Enterobacteriaceae_unclassified"	-0.408248290463863	-0.408248290463863	-0.408248290463863	2.04124145231932	-0.408248290463863	-0.408248290463863	7	0.792362686162126
"Paenalcaligenes"	2.04124145231932	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Flavobacteriaceae_unclassified"	-0.408248290463863	2.04124145231932	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	5	0.975267025789447
"Oligella"	2.04124145231932	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Bacillales_unclassified"	2.04124145231931	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	4	0.991694639312122
"Neisseria"	-0.408248290463863	2.04124145231932	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	5	0.975267025789447
